fips,population,hispanic,minority,female,unemployed,income,nodegree,bachelor,inactivity,obesity,density,votergap20,votergap16
51099,23557,4.578,22.763,49.657,4.7,76.206,7.6,31.8,20.6,28.3,131.3,-21.3818795,-27.877
48065,6110,10.085,4.758,49.858,3.2,58.425,10.4,22.6,26.2,28.4,63.3,-79.5003203,-80.407
56027,2366,2.95,5.114,53.777,2.9,45.251,8.3,21.4,27.3,25.5,0.9,-72.8441755,-77.178
19069,10540,12.006,3.429,49.655,3.3,51.045,14.3,16.3,24.5,32.6,32.6,-35.2241716,-33.835
51185,44907,0.904,5.48,50.171,7.5,38.292,21.6,12.8,29.6,30.3,86.9,-67.1198889,-66.315
18113,48028,10.312,2.809,50.118,4.2,50.997,16,14.2,25.8,31.8,35.5,-49.6873371,-49.106
22005,104822,5.209,26.42,50.564,5,67.299,11.3,25.8,27.8,31.3,33.8,-32.5519455,-35.973
55087,177155,4.103,8.365,50.181,4,59.377,6.9,26.9,18.7,30.1,277.2,-9.9220529,-14.146
17181,18005,5.09,3.682,50.213,7.8,40.957,15.5,21.3,24.5,28.2,208.6,-40.310601,-39.829
35039,40678,71.491,22.032,50.787,8,34.902,20.8,15.5,19.9,24.5,3.1,33.5698821,40.223
31075,560,1.404,1.56,48.518,2.3,47.537,4.9,18.6,30.6,28.3,4.5,-88.3084577,-88.071
1003,179878,4.55,12.934,51.261,5.5,49.626,11,28.6,22.3,27.4,114.6,-53.7623428,-57.786
1013,19964,1.171,46.447,53.503,7.5,32.512,23.4,14.3,34.4,36.3,27,-15.7356661,-13.529
1021,42971,7.703,12.942,50.855,5.7,41.45,22.5,13.5,30.4,35.9,63,-67.3847747,-66.606
1039,36678,1.61,15.94,51.793,7.1,36.149,20,14.6,33,34,36.6,-68.0722891,-68.548
1041,13781,1.826,28.311,51.221,6,34.445,23.1,12.5,29.8,39.7,22.8,-47.816231,-45.553
1043,81778,4.414,3.99,50.615,5.3,39.922,18.5,15.1,25.7,33.4,109.4,-77.4222838,-77.805
1067,16647,2.648,29.383,51.646,6.8,39.93,20.5,16.8,28.5,35.8,30.8,-43.0307593,-41.624
1071,52838,2.915,8.604,50.8,6.6,36.923,24.7,12.9,30.9,32,49.4,-67.4944999,-62.449
1085,12293,1.348,73.848,52.563,11.6,30.675,27.3,13.2,29.9,45.1,15.8,45.8814924,46.899
1093,29116,2.519,6.308,50.328,7,37.707,25.1,11.1,30.3,35.5,41.5,-77.8011153,-76.216
1107,19218,4.913,41.78,50.062,6.8,31.933,21.4,9.6,30,36.4,22.4,-16.2598262,-15.61
2013,2744,14.187,75.995,30.829,3.2,55.462,20.5,12.6,26.9,33.4,0.4,-25.7487359,-15.17
4003,129518,34.669,12.183,49.101,7.4,45.025,13.7,23.1,20.9,26,21.3,-19.5642103,-22.586
4009,37045,32.783,18.627,46.522,7.4,46.046,14.8,13.6,24.6,32.5,8.1,-44.7815938,-39.568
4011,8041,46.721,8.983,48.158,7.9,59.416,14.9,11.8,22.4,34.7,4.6,-33.9484396,-24.669
4012,20012,26.161,23.094,48.774,7.6,32.533,23.1,10.2,30.4,32,4.6,-38.7905605,-41.837
4025,215686,14.408,6.59,51.179,5.6,44.145,10.1,24.9,20.4,25.3,26,-29.2729418,-31.426
4027,196972,61.961,8.812,48.604,21.8,39.7,28.3,14,26.8,30.5,35.5,-6.1876619,-5.52
5009,36821,2.375,3.853,50.774,5.1,39.779,15.1,15.1,34,33.9,62.5,-61.867477,-57.771
5023,25600,2.541,3.157,50.724,7.2,40.555,15.4,17.2,41.4,31.8,46.9,-65.7728707,-60.864
5027,23854,2.907,39.098,51.87,6.8,37.495,16,21.3,35.5,36.4,32.1,-31.174559,-26.061
5037,18544,1.886,25.185,51.475,5.6,38.597,21.5,12.4,37.6,37.9,29,-45.721694,-37.622
5039,7991,3.012,43.595,51.552,7.4,34.018,16.1,11.8,35.2,36.2,12.2,-23.0275576,-12.351
5045,109386,4.115,15.729,51.035,4.8,51.436,10.3,27.3,31.1,33.2,174.8,-29.5325936,-31.03
5075,16882,1.329,2.962,50.629,6.3,34.916,18.9,11.8,37.4,31.8,29.6,-59.5697456,-49.27
5087,15875,5.29,5.144,49.952,3.9,39.158,23.3,9.7,35.2,34,18.8,-55.7067065,-48.763
5095,8171,2.392,43.303,52.872,6.3,30.682,24.1,12.1,37.4,37.5,13.4,-14.1335227,-3.672
5107,20921,1.748,63.465,52.872,7.9,28.171,25.2,12.9,35.9,45.5,31.3,19.3207305,26.673
5137,11991,2.031,3.5,50.442,6.5,30.01,20,16.3,35.9,32.6,20.4,-57.8646009,-51.94
6001,1491482,22.588,48.719,50.95,4.7,76.996,13.3,42.1,15.8,20,2043.6,62.5073045,64.429
6005,37876,13.521,9.443,46.742,6.6,54.61,11.6,20.5,18.3,25.5,64.1,-24.3543759,-26.361
6009,46731,11.524,8.347,50.045,6.5,53.321,7.5,21.1,19.4,23.5,44.7,-23.8256516,-22.723
6015,29114,19.773,21.318,45.168,8.6,41.419,18,16,18.7,25.5,28.4,-15.5767048,-17.273
6049,9107,15.248,11.534,49.504,8.8,39.172,13.4,18.5,19.2,23.2,2.5,-45.1070689,-48.08
6053,410370,57.827,17.419,49.072,8.1,57.428,28.8,23.1,17.2,22.3,126.5,41.2718167,39.242
6059,3026786,34.358,26.98,50.611,4.5,76.061,16,37.3,16.1,19.7,3807.7,9.0342176,5.145
6115,72925,27.535,20.935,49.176,9.2,41.403,20.4,14.2,15.7,24.8,114.2,-21.6337763,-25.146
8005,565360,18.898,22.081,50.685,3.7,65.359,8.2,39.4,15.9,21.4,716.7,24.6396884,13.75
8015,17156,10.408,5.896,46.715,3.4,48.84,9.5,34.2,16.1,20.5,17.6,6.8377314,-4.637
8033,1940,5.865,6.673,47.978,3.1,44.235,11.8,21.7,17.7,19.8,1.9,-51.6218081,-57.642
8039,23287,6.634,4.936,49.61,3.1,83.603,4.2,29.5,16.3,19.6,12.5,-50.2396882,-54.051
8055,7558,34.15,10.89,49.03,7.7,32.75,14.7,28.9,20.1,20.1,4.2,-2.882433,-6.469
8057,1369,11.578,4.499,47.05,3.7,45.073,15.5,17.5,20.5,21.4,0.9,-57.7625571,-53.016
8059,536922,15.308,7.981,50.277,3.5,70.687,6.2,41.1,11.9,18.3,699.5,18.5444591,6.995
8071,16020,42.559,9.183,47.944,5.6,39.625,14.3,18,21.9,21,3.2,-9.8856927,-15.569
8077,146093,14.35,5.925,50.398,5.5,50.106,10.3,25.2,17.3,23.5,44.1,-27.9818589,-36.288
8087,27850,35.515,7.154,50.078,3.8,47.631,20.8,13.9,21.6,26.9,22,-41.5963329,-41.857
8093,16762,6.239,5.161,47.341,3.4,58.487,4.2,31.6,15.6,20.5,7.4,-16.9880401,-26.374
8097,16043,9.782,4.526,47.85,3.8,73.274,5.2,56.4,8.9,14.9,17.7,51.9277411,45.413
8103,6534,11.003,6.3,48.212,5.3,63.184,8.8,20.8,16.3,22.6,2.1,-67.7323219,-68.364
8107,23469,7.045,3.726,47.617,3.2,66.846,3.5,48.7,12.2,14.3,10,27.5954017,16.976
8113,7558,10.154,4.747,46.808,3.7,59.603,4.7,54.4,12.4,16.7,5.7,54.1674762,44.769
8115,2326,15.632,4.669,50.104,3.4,44.562,12.1,18.6,19.7,22.1,4.3,-56.7081604,-54.839
8119,21685,6.449,5.439,49.19,4.4,62.38,6.9,30.9,17.2,20.3,41.9,-35.2027864,-42.477
9003,879835,17.367,23.576,51.446,5.9,65.809,11.4,35.6,21.2,26.8,1216.2,27.6728328,21.511
9015,117518,11.111,7.343,50.416,6.2,57.547,12,22.9,24.5,29.6,230.9,-4.265793,-7.814
12001,243574,9.192,29.74,51.628,4.5,44.325,8.2,40.8,19.2,25.6,282.7,27.1605285,22.519
12007,29235,3.803,22.118,45.74,4.8,39.98,23.9,10.4,32.8,35.9,97,-52.6261737,-49.504
12009,536357,9.651,16.348,51.197,5.9,47.973,9.5,26.7,24.7,25.6,535,-16.446763,-19.754
