fips,never,rarely,sometimes,frequently,always
13121,2.6,3.6,8.9,18.7,66.2
13123,12.8,4.2,8.7,19.8,54.5
13125,15.6,6.6,10.7,13,54.1
13127,4.8,7.1,14.5,25.1,48.5
13129,17.2,10,20.1,15.7,36.9
13131,6.3,13.9,11.6,26.4,41.7
13133,6.2,4.6,5.7,17.6,65.8
13135,3.6,5.4,8.1,19,63.9
13137,6.3,10,11.6,29.2,43
13139,6.1,6.9,12.8,19.8,54.5
13141,4.3,11.1,10.2,16.8,57.5
13143,18.4,12.3,16.5,18.4,34.5
13145,9.3,8.1,6.1,21.3,55.1
13147,9.2,6.1,14,20.7,50
13149,12.6,9.4,16.6,14.4,47.1
13151,10.3,4.8,9.1,18.1,57.8
13153,3.2,7.9,13.6,17.2,58.1
13155,9.8,9.1,12.6,22.4,46
13157,12.5,8.5,11.7,24,43.4
13159,8.2,5.9,18.1,11.8,56
13161,12.4,13.8,16.5,18.3,39
13163,25.1,5.5,9.9,10.2,49.3
13165,11.4,5.3,8.4,26.1,48.8
13167,11.9,5.3,10.9,25.1,46.8
13169,4.9,8.7,22.6,20.9,43
13171,7,6,17.1,29.3,40.6
13173,10.2,7,14.5,18.1,50.2
13175,12.2,5.6,14.1,29.1,39.1
13177,3.5,3.3,3.9,16.2,73.2
13179,0.7,9.9,6.6,21.5,61.4
13181,7.3,10.4,11.1,23.3,47.9
13183,1.4,11.9,8.6,15.9,62.1
13185,10.8,10.1,14.9,20.8,43.5
13187,3.5,8.6,13,24.5,50.4
13189,7.2,5.3,12.3,26.5,48.8
13191,3.4,7.6,18.8,22.1,48.1
13193,7.8,4.9,11.3,21,55
13195,16.5,8.4,5.5,18.6,51.1
13197,8.4,12,16.7,19.6,43.3
13199,10.9,8.6,13.8,15,51.7
13201,6.4,5.6,18.2,15.9,53.9
13205,4.4,11.2,5.5,15.9,63
13207,7.2,3.5,18.4,25.3,45.5
13209,11.4,8.3,17.4,22.8,40.1
13211,6.1,6.4,9.3,16.8,61.4
13213,19.3,3,18.2,17.7,41.7
13215,6.3,7.3,8.3,22.5,55.5
13217,9.4,7.6,12.3,20.7,50
13219,4.9,6.3,9.5,18.1,61.1
13221,5.6,8.2,5.4,18.1,62.7
13223,9.7,6.8,10.8,23.3,49.4
13225,2.7,7.4,17.2,16,56.7
13227,3.8,11.8,10.1,18.8,55.5
13229,5,14.3,12.7,15.7,52.2
13231,5.9,6,14.7,19.2,54.2
13233,10.6,7.1,19.2,14.5,48.5
13235,7.9,3.1,9.8,21.8,57.5
13237,5.9,9.3,11.8,21.4,51.6
13239,5.3,15,9.5,16.3,53.8
13241,10,8.3,12.4,22.9,46.4
13243,1.6,6.5,5,20,66.9
13245,6.8,5.9,11.4,18,57.8
13247,5.8,7.8,11.5,21.6,53.4
13249,7,10.2,11.7,21.4,49.7
13251,19.8,6.9,8.1,24.2,41
13253,7.3,7.9,20.2,13.5,51
13255,7.2,3.8,17.9,20.2,50.9
13257,8.7,11.6,11.6,31,37
13259,5.5,9.2,13.3,20.3,51.7
13261,5.5,5.6,4.6,20.2,64.1
13263,16.8,8,8.9,17.1,49.2
13265,6.5,4.8,8.6,15.8,64.4
13267,5.1,7.6,21.4,22.4,43.4
13269,12.6,6.9,18.2,20.1,42.2
13271,15.6,7.5,13.4,20.8,42.7
13273,1.9,2.9,3,16.7,75.5
13275,2.6,9.6,12,22.8,53
13277,6.6,8.8,12.2,22.7,49.6
13279,9.7,6.9,17.9,22.6,42.9
13281,7.6,9.6,9.8,19.9,53.1
13283,9.6,7,16.8,26.7,39.9
13285,17.5,3.1,11.9,17.8,49.7
13287,14.1,4.2,9.4,17.5,54.7
13289,4,7.7,18.8,14.8,54.7
13291,6.5,11.9,8.7,16.8,56
13293,16,10,11.4,20.6,42.1
13295,14.4,16.4,11.7,21,36.6
13297,10.6,12.7,18.4,14.1,44.2
13299,6.1,10.8,10.9,16.6,55.6
13301,9.5,6.5,14,22.6,47.4
13303,10.4,7,5.3,15.7,61.7
13305,2.9,13.9,14.3,13.9,55
13307,1.9,6.4,10.3,21,60.3
13309,13.5,7.8,16.2,23,39.5
13311,5.7,6.4,9.9,34.7,43.3
13313,18.5,6.8,20.3,14.2,40.3
13315,17.3,1.7,8.3,15.7,56.9
13317,8,8.6,11.4,17.2,54.8
13319,3.9,6.2,14.1,22.4,53.4
13321,6.9,5.6,8.3,18.7,60.5
15001,1,3.2,3.7,12.2,79.9
15003,1.1,1.2,2.7,15.1,79.8
15005,2.6,1.3,3.2,8,85
15007,0,2.1,4.6,10.8,82.5
15009,3.4,1.6,2.5,12.2,80.3
16001,11.8,7.8,8.4,19.4,52.6
16003,9.4,21.6,21.8,21.8,25.4
16005,8.4,19.3,17.6,19.5,35.2
16007,15.1,12,10.2,24.3,38.5
16009,3.8,5.9,15,15.2,60.1
16011,9.5,19.7,17.5,22.9,30.4
16013,15.5,10.7,10.2,13,50.6
16015,5.7,3.8,3.8,54.9,31.8
16017,8.8,11.6,11.9,24.1,43.6
16019,9.6,20.2,18.8,24.7,26.8
16021,4.5,17.1,6.1,18.5,53.7
16023,10.7,21.3,15.9,22.2,29.8
16025,18.6,3,4.7,9.8,63.9
16027,11.3,9.5,17,24,38.1
16029,10,18.1,19.1,20.2,32.6
16031,13.4,22.3,10.2,14.9,39.2
16033,11.9,22.8,19.6,23.9,21.8
16035,3.7,11.2,12.7,25,47.5
16037,6.9,2.9,19.9,24.4,45.8
16039,20.6,4.4,3.8,17.3,53.9
16041,13.1,11.8,8.5,25.6,41
16043,11.1,20.6,20.2,24.7,23.3
16045,11.9,13.6,11.1,19.8,43.6
16047,21.1,20.2,8.9,15.3,34.5
16049,4.5,9.4,16.4,27.5,42.3
16051,9.9,20.8,19.2,24.9,25.2
16053,17.5,21.9,9.6,16.7,34.3
16055,14.6,10.5,17,22,35.9
16057,0.2,1.2,6.6,32.8,59.2
16059,10.9,17.3,23.1,12.5,36.2
16061,2.7,7.3,15.7,28.5,45.9
16063,18,20,10.5,13.5,37.9
16065,10.1,20.7,19.6,25,24.5
16067,13.4,21.9,10.6,15.2,39
16069,0.9,3,11.7,32.6,51.7
16071,8.3,17.3,15.3,18.5,40.6
16073,12.3,13.7,14.6,17.1,42.3
16075,8.1,19.9,17.4,24.2,30.4
16077,7.8,20.5,15.2,18.5,38.1
16079,6.8,14.4,29.9,14.7,34.2
16081,9.9,18.9,19,25,27.2
16083,16.6,22.2,10.1,17.7,33.5
16085,4.1,11.8,10.2,37.8,36.1
16087,13.6,13,32.4,17.2,23.9
17001,18,9.2,18.9,19,35
17003,11,8.2,14.8,26.2,39.8
17005,7,5.5,10.8,21.8,54.9
17007,2.5,0.6,6.5,24.4,66
17009,18,9.9,13.6,20,38.5
17011,1.2,1.9,15.6,20.8,60.5
